GAD7 APPROX,"Screen Time (Daily, Approx)"
17.85,2.5
19.95,5
18.9,3.5
14.7,5
15.75,2.5
14.7,2.5
15.75,3.5
10.5,5
8.4,5
4.2,0.5
18.9,2.5
12.6,3.5
14.7,3.5
14.7,3.5
21,5
13.65,1.5
13.65,0.5
10.5,4.5
14.7,1.5
9.45,1.5
9.45,2.5
10.5,5
16.8,3.5
12.6,1.5
18.9,3.5
12.6,3.5
15.75,3.5
17.85,2.5
14.7,4.5
15.75,3.5
17.85,3.5
10.5,2.5
12.6,2.5
12.6,2.5
19.95,3.5
14.7,5
9.45,3.5
14.7,0.5
15.75,3.5
13.65,2.5
6.3,1.5
12.6,3.5
7.35,1.5
16.8,5
12.6,5
13.65,5
6.3,3.5
12.6,3.5
8.4,2.5
5.25,3.5
12.6,3.5
13.65,5
21,0.5
5.25,1.5
6.3,1.5
17.85,5
11.55,5
16.8,2.5
15.75,2.5
10.5,1.5
16.8,5
17.85,1.5
17.85,5
16.8,1.5
13.65,2.5
10.5,1.5
15.75,3.5
16.8,2.5
16.8,1.5
12.6,3.5
7.35,3.5
21,2.5
15.75,5
7.35,1.5
18.9,4.5
9.45,0.5
12.6,2.5
15.75,3.5
21,3.5
21,3.5
19.95,2.5
13.65,5
15.75,5
17.85,4.5
13.65,2.5
12.6,2.5
10.5,1.5
9.45,1.5
9.45,2.5
19.95,2.5
15.75,2.5
16.8,3.5
14.7,5
14.7,4.5
16.8,4.5
15.75,5
11.55,4.5
8.4,5
17.85,5
12.6,4.5
13.65,2.5
16.8,1.5
14.7,3.5
18.9,1.5
10.5,4.5
13.65,4.5
12.6,2.5
7.35,1.5
12.6,3.5
10.5,2.5
13.65,2.5
15.75,5
12.6,2.5
12.6,1.5
10.5,5
10.5,5
18.9,2.5
16.8,5
19.95,5
17.85,4.5
5.25,0.5
12.6,3.5
15.75,4.5
16.8,5
7.35,5
14.7,5
16.8,2.5
17.85,5
9.45,3.5
10.5,2.5
10.5,2.5
8.4,1.5
14.7,2.5
6.3,0.5
7.35,1.5
16.8,4.5
10.5,2.5
4.2,2.5
13.65,1.5
15.75,3.5
6.3,3.5
17.85,4.5
12.6,1.5
7.35,0.5
15.75,4.5
10.5,1.5
16.8,5
13.65,1.5
8.4,3.5
10.5,4.5
8.4,3.5
9.45,4.5
9.45,2.5
9.45,1.5
15.75,0.5
16.8,3.5
13.65,0.5
13.65,2.5
12.6,1.5
18.9,4.5
10.5,1.5
5.25,0.5
16.8,5
14.7,3.5
17.85,2.5
8.4,0.5
9.45,0.5
9.45,2.5
5.25,1.5
9.45,0.5
13.65,5
17.85,3.5
19.95,1.5
10.5,1.5
17.85,4.5
9.45,2.5
4.2,0.5
17.85,3.5
17.85,4.5
10.5,2.5
16.8,1.5
11.55,1.5
10.5,0.5
16.8,4.5
14.7,5
10.5,2.5
9.45,1.5
8.4,4.5
17.85,5
13.65,2.5
9.45,2.5
11.55,2.5
14.7,4.5
17.85,5
18.9,3.5
4.2,2.5
9.45,2.5
9.45,4.5
6.3,0.5
5.25,1.5
13.65,1.5
15.75,3.5
13.65,5
16.8,3.5
21,5
11.55,2.5
10.5,3.5
15.75,3.5
4.2,2.5
16.8,3.5
12.6,2.5
4.2,5
17.85,5
4.2,0.5
13.65,5
8.4,4.5
4.2,0.5
12.6,1.5
17.85,1.5
13.65,1.5
17.85,5
7.35,2.5
13.65,1.5
11.55,3.5
14.7,5
12.6,5
16.8,3.5
15.75,2.5
7.35,0.5
17.85,5
12.6,5
6.3,0.5
15.75,1.5
5.25,3.5
15.75,5
12.6,5
7.35,0.5
17.85,2.5
21,5
15.75,4.5
13.65,4.5
16.8,3.5
15.75,0.5
18.9,3.5
10.5,1.5
14.7,4.5
12.6,5
10.5,2.5
8.4,1.5
16.8,5
4.2,1.5
19.95,4.5
16.8,4.5
10.5,2.5
11.55,0.5
18.9,5
21,2.5
6.3,4.5
13.65,5
14.7,2.5
8.4,1.5
18.9,2.5
10.5,1.5
12.6,5
12.6,5
12.6,3.5
11.55,5
17.85,2.5
18.9,5
9.45,5
12.6,5
21,5
14.7,3.5
21,1.5
15.75,2.5
19.95,3.5
21,4.5
21,5
15.75,2.5
15.75,2.5
17.85,5
16.8,3.5
6.3,5
18.9,5
16.8,4.5
16.8,3.5
9.45,3.5
18.9,5
12.6,4.5
13.65,3.5
12.6,2.5
14.7,3.5
17.85,4.5
18.9,2.5
4.2,1.5
11.55,2.5
13.65,4.5
18.9,2.5
13.65,1.5
14.7,2.5
17.85,2.5
19.95,2.5
13.65,2.5
17.85,2.5
12.6,3.5
14.7,4.5
15.75,4.5
6.3,3.5
12.6,5
9.45,3.5
18.9,3.5
18.9,5
12.6,5
19.95,1.5
16.8,5
16.8,5
11.55,3.5
17.85,5
21,5
21,5
19.95,5
16.8,5
15.75,5
13.65,0.5
21,5
15.75,5
19.95,3.5
19.95,2.5
10.5,2.5
17.85,2.5
9.45,3.5
12.6,2.5
8.4,2.5
15.75,5
12.6,4.5
15.75,5
7.35,3.5
18.9,3.5
13.65,2.5
15.75,1.5
13.65,5
16.8,4.5
18.9,3.5
14.7,1.5
19.95,5
15.75,2.5
4.2,0.5
13.65,4.5
14.7,4.5
18.9,5
17.85,3.5
12.6,1.5
17.85,4.5
18.9,1.5
9.45,4.5
16.8,0.5
15.75,2.5
10.5,1.5
12.6,5
17.85,2.5
11.55,4.5
12.6,1.5
15.75,4.5
6.3,4.5
7.35,2.5
21,4.5
16.8,2.5
21,5
6.3,5
17.85,3.5
13.65,5
19.95,1.5
9.45,0.5
16.8,3.5
9.45,2.5
17.85,4.5
16.8,4.5
18.9,2.5
16.8,3.5
7.35,5
19.95,5
16.8,3.5
17.85,5
13.65,1.5
14.7,3.5
13.65,2.5
15.75,4.5
14.7,4.5
14.7,2.5
19.95,4.5
12.6,5
18.9,5
21,5
16.8,5
9.45,5
7.35,1.5
16.8,5
19.95,5
9.45,2.5
19.95,4.5
14.7,3.5
12.6,1.5
16.8,5
4.2,0.5
4.2,0.5
18.9,3.5
21,3.5
15.75,5
15.75,4.5
15.75,5
14.7,3.5
12.6,5
21,3.5
21,5
15.75,4.5
19.95,3.5
9.45,3.5
16.8,3.5
16.8,3.5
11.55,1.5
17.85,5
12.6,0.5
18.9,2.5
18.9,5
10.5,1.5
14.7,2.5
14.7,3.5
16.8,5
11.55,3.5
19.95,3.5
18.9,5
17.85,5
21,5
19.95,4.5
15.75,4.5
16.8,2.5
14.7,5
10.5,4.5
12.6,5
15.75,4.5
12.6,3.5
9.45,3.5
10.5,2.5
15.75,5
12.6,4.5
15.75,1.5
21,3.5
18.9,5
18.9,3.5
13.65,2.5
12.6,3.5
18.9,4.5
14.7,3.5
4.2,2.5
12.6,0.5
4.2,0.5
5.25,2.5
11.55,1.5
11.55,2.5
10.5,4.5
4.2,1.5
15.75,3.5
16.8,2.5
11.55,4.5
8.4,2.5
10.5,5
14.7,4.5
8.4,1.5
14.7,5
8.4,4.5
18.9,1.5
16.8,5
11.55,1.5
16.8,2.5
14.7,4.5
19.95,3.5
14.7,2.5
13.65,1.5
9.45,2.5
13.65,2.5
7.35,0.5
